PID,url,Start Date,time_utc
66f46179fa81f408915abaaa,https://www.tiktokv.com/share/video/7523792208974089503/,07/21/2025 05:11PM,2025-07-21 22:02:45+00:00
610920f0107bd72ff209c20f,https://www.tiktokv.com/share/video/7521063253871430926/,07/16/2025 05:46PM,2025-07-16 22:44:17+00:00
610920f0107bd72ff209c20f,https://www.tiktokv.com/share/video/7518793637879139589/,07/16/2025 05:46PM,2025-07-16 22:44:11+00:00
610920f0107bd72ff209c20f,https://www.tiktokv.com/share/video/7524816598704655632/,07/16/2025 05:46PM,2025-07-16 22:44:11+00:00
662da25fc17944dbf5c4e771,https://www.tiktokv.com/share/video/7527118218469690654/,07/16/2025 05:09PM,2025-07-16 23:08:59+00:00
662da25fc17944dbf5c4e771,https://www.tiktokv.com/share/video/7527763290227805471/,07/16/2025 05:09PM,2025-07-16 23:08:49+00:00
662da25fc17944dbf5c4e771,https://www.tiktokv.com/share/video/7518041283680587038/,07/16/2025 05:09PM,2025-07-16 23:08:48+00:00
671a99bd931959eb227a7720,https://www.tiktokv.com/share/video/7527097972832718102/,07/16/2025 01:00PM,2025-07-16 16:57:47+00:00
671a99bd931959eb227a7720,https://www.tiktokv.com/share/video/7507035824446393630/,07/16/2025 01:00PM,2025-07-16 16:57:45+00:00
671a99bd931959eb227a7720,https://www.tiktokv.com/share/video/7527495277742230797/,07/16/2025 01:00PM,2025-07-16 16:56:13+00:00
671d7a754bafa85dac6e0683,https://www.tiktokv.com/share/video/7530641539022867742/,07/25/2025 09:20PM,2025-07-26 01:18:34+00:00
671d7a754bafa85dac6e0683,https://www.tiktokv.com/share/video/7530314194806131998/,07/25/2025 09:20PM,2025-07-26 00:23:56+00:00
671d7a754bafa85dac6e0683,https://www.tiktokv.com/share/video/7403801901772606766/,07/25/2025 09:20PM,2025-07-26 00:23:49+00:00
613509614cefef50fcfbb9d1,https://www.tiktokv.com/share/video/7527845700344761655/,07/17/2025 05:47PM,2025-07-17 21:45:11+00:00
613509614cefef50fcfbb9d1,https://www.tiktokv.com/share/video/7528161620762070303/,07/17/2025 05:47PM,2025-07-17 21:44:56+00:00
613509614cefef50fcfbb9d1,https://www.tiktokv.com/share/video/7528159084147723551/,07/17/2025 05:47PM,2025-07-17 21:44:22+00:00
66fb29ef3afdca989e3cc97d,https://www.tiktokv.com/share/video/7528285076996623633/,07/21/2025 01:00PM,2025-07-21 19:34:12+00:00
66fb29ef3afdca989e3cc97d,https://www.tiktokv.com/share/video/7529619378963254559/,07/21/2025 01:00PM,2025-07-21 19:34:10+00:00
66fb29ef3afdca989e3cc97d,https://www.tiktokv.com/share/video/7529565764840377655/,07/21/2025 01:00PM,2025-07-21 19:33:07+00:00
677ae33b931f49f5fe68e32e,https://www.tiktokv.com/share/video/7389826795291430187/,07/17/2025 12:00PM,2025-07-17 16:46:52+00:00
677ae33b931f49f5fe68e32e,https://www.tiktokv.com/share/video/7397191242964028703/,07/17/2025 12:00PM,2025-07-17 16:45:19+00:00
677ae33b931f49f5fe68e32e,https://www.tiktokv.com/share/video/7471768118592064814/,07/17/2025 12:00PM,2025-07-17 16:44:42+00:00
